Serial_number:	-1231536963								
Time	Data_Count	Cycle	State	Desired_force_(psi)	Measured_force_(psi)	Toe_sensor	Heel_Sensor		Desired 
1484787020130.0	334	2	2	196	-0.484	254235.88	1275244.29		
1484787020138.0	335	2	2	196	0	262257.27	1275244.29		
1484787020153.0	336	2	2	196	0	266453.08	1275244.29		
1484787020159.0	337	2	2	196	-0.484	266453.08	1374145.38		
1484787020169.0	338	2	2	196	0	289530	1189530		
1484787020178.0	339	2	2	196	0	284611.97	1275244.29		
1484787020188.0	340	2	2	196	-0.484	284611.97	1275244.29		
1484787020193.0	341	2	2	196	-0.484	299874.83	1275244.29		
1484787020201.0	342	2	2	196	0	289530	1189530		
1484787020215.0	343	2	2	196	0	294614.75	1275244.29		
1484787020224.0	344	2	2	196	0	294614.75	1275244.29		
1484787020229.0	345	2	2	196	0	294614.75	1275244.29		
1484787020236.0	346	2	2	196	0	299874.83	1275244.29		
1484787020244.0	347	2	2	196	0	284611.97	1374145.38		
1484787020249.0	348	2	2	196	0	299874.83	1275244.29		
1484787020257.0	349	2	2	196	0	299874.83	1374145.38		
1484787020268.0	350	2	2	196	0	299874.83	1275244.29		
1484787020279.0	351	2	2	196	0	305319.47	1489530		
1484787020287.0	352	2	2	196	0	299874.83	1275244.29		
1484787020293.0	353	2	2	196	0	294614.75	1374145.38		
1484787020300.0	354	2	2	196	0	294614.75	1275244.29		
1484787020306.0	355	2	2	196	0	289530	1189530		
1484787020314.0	356	2	2	196	0	299874.83	1189530		
1484787020328.0	357	2	2	196	0	284611.97	1275244.29		
1484787020338.0	358	3	2	196	0	284611.97	1374145.38		
